,title,urlToImage
0,Gas prices trend lower following petroleum reserve release - Fox Business,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2022/01/0/0/iStock-155350081.jpg?ve=1&tl=1
1,Tesla deliveries rose in quarter Elon Musk calls exceptionally difficult - Fox Business,https://images.wsj.net/im-517211/social
2,Jack Dorsey: I'm 'partially to blame' for centralizing the Internet - Business Insider,https://i.insider.com/62491315e22adb0018d1c24c?width=1200&format=jpeg
3,Tesla plans to resume production at its Shanghai plant from April 4 - sources - Reuters,https://www.reuters.com/resizer/RffNQodsFFwg8pmoYtkvGkHwURk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/MWUDWROTDNIE3AUXVC2QVVS6YE.jpg
4,Applebee's franchise exec fired after saying gas hikes could mean lower wages - New York Post ,https://nypost.com/wp-content/uploads/sites/2/2022/03/applebees-comp.jpg?quality=75&strip=all&w=1024
5,Defiance CEO 'Completely Bullish on Bitcoin' — Says It's 'a Good Time to Get in' – Bitcoin News - Bitcoin News,https://static.news.bitcoin.com/wp-content/uploads/2022/04/defiance-etf.jpg
6,Energy groups target Biden administration over unwillingness to expand domestic oil production - Fox Business,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2021/10/0/0/joe-biden-oil-field-1-AP-istock.jpg?ve=1&tl=1
7,"Southwest Airlines apologizes delays and cancellations of 2,000 flights blaming 'technology issues' - Daily Mail",https://i.dailymail.co.uk/1s/2022/04/03/01/56143921-0-image-a-2_1648947343876.jpg
8,Facebook Makes a Big Controversial Change - TheStreet,https://www.thestreet.com/.image/t_share/MTcwNzY1NTgzODk2MjkwOTY3/facebook.jpg
9,Should you get a second COVID-19 vaccine booster? - Star Tribune,https://chorus.stimg.co/23359493/merlin_67130255.jpg?h=630&w=1200&fit=crop&bg=999&crop=faces
10,China confirms plans to change audit rules on overseas listings (NASDAQ:PDD) - Seeking Alpha,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1056780444/image_1056780444.jpg?io=getty-c-w750
11,America Is Finally Taking The Battery Metal Shortage Seriously - OilPrice.com,https://d32r1sh890xpii.cloudfront.net/article/718x300/2022-04-01_m8dblob1sz.jpg
12,Disney-branded hand sanitizers recalled after FDA detected carcinogen benzene and methanol - CNN,"https://media.cnn.com/api/v1/images/stellar/prod/220402150915-disney-hand-sanitizer-recall-trnd.jpg?c=16x9&q=w_800,c_fill"
13,LA County sees largest decrease in average gas price since April 2020 - KABC-TV,https://cdn.abcotvs.com/dip/images/11703651_040222-kabc-5am-gas-prices-vid.jpg?w=1600
14,Delta Plane Makes Emergency Landing After Windshield Shatters Mid-Flight - The New York Times,https://static01.nyt.com/images/2022/04/03/us/03xp-delta1/02xp-delta1-facebookJumbo.jpg
15,"General Motors recalls more than 680,000 vehicles due to windshield wipers defect - CNN","https://media.cnn.com/api/v1/images/stellar/prod/220402140358-gmc-file.jpg?c=16x9&q=w_800,c_fill"
16,Can Home Prices and Interest Rates Soar at the Same Time? - The New York Times,https://static01.nyt.com/images/2022/03/30/us/-promo-1648662866231/-promo-1648662866231-facebookJumbo.png
17,Alaska Airlines' travel woes linger at Sea-Tac Airport with more than 100 flights impacted - KOMO News,https://komonews.com/resources/media/ee746de9-d407-4252-9526-1d0a3a628503-large16x9_thumb_115911.png?1648926589293
18,VIDEO: Church Donates $10K Worth of Gas as Prices Surge - Breitbart,https://media.breitbart.com/media/2021/05/BP-gas-station-line-getty-640x335.jpg
19,DeFi Lender Inverse Finance Exploited for $15.6 Million - CoinDesk,https://www.coindesk.com/resizer/yVsX-chY0Gt-Go5TqmBrVVRhKEo=/1200x628/center/middle/cloudfront-us-east-1.images.arcpublishing.com/coindesk/PPOFTJUV7FBS5LXFRJXHMRCW4I.jpg
